Year,Day,Hour,Station,P_YN,P_NG,P_JK,P_PH,P_Mean,S_YN,S_NG,S_JK,S_PH,S_Mean
1971,107,0705,12,9.6,,,10,9.8,212,,,210,211
,,,14,1.9,,,1.5,1.7,182,,,192,187
1971,140,1728,12,,,,,,183,,,183.5,183.3
,,,14,60.2,,,60,60.1,184,,,186,185
1971,192,1327,12,58.2,,,54.3,56.2,200,,,200,200
,,,14,70.4,,,72.5,71.5,225,,,233,229
1972,2,2233,14,170,,,,170,485,,,,485
,,,15,52,,,,52,250,,,,250
1973,72,0801,12,34.2,34.1,34.2,34,34.1,267,272,267,,268.7
,,,14,35.5,35.9,35.5,35,35.5,280,,272.5,,276.3
,,,15,100,99.7,100,109,102.2,465,,398.5,,431.8
,,,16,27.2,27.8,27.9,27.5,27.6,270,259.4,258.6,266,263.5
1973,171,2024,12,56.1,55,56,,55.7,180,185.3,187.5,182,183.7
,,,14,66.6,66.5,67,54,63.5,219,,207.5,215,213.8
,,,15,147.5,145.7,147.5,156,149.2,360,,346,,353
,,,16,190.7,198.5,191,,193.4,430,412.5,422.5,,421.7
1974,192,0050,12,138.7,138.5,138.7,,138.6,459,,417,,438
,,,14,128.6,125.3,128.6,128,127.6,439,,407,,423
,,,15,57.5,56.5,57.5,57,57.1,255,,263,242,253.3
,,,16,59.8,50.3,59.8,55.5,56.3,270,,270,240,260
1975,3,0146,12,33.5,33.6,33.5,34,33.7,,269,255,,262
,,,14,51.2,51.3,51.2,51,51.2,280,,285,275,280
,,,15,61.1,60.5,61.1,62.5,61.3,300,,300,,300
,,,16,135,127.5,135,133,132.6,510,453,510,,491
1975,12,0317,14,137.7,,137.5,140,138.4,368,,356,,362
,,,15,20,,30,24,24.7,162,,162,161,161.7
,,,16,124.8,,125,,124.9,331,,331,331,331
1975,44,2204,14,58.3,58.2,58,,58.2,108,107.8,108,,107.9
,,,15,190.4,189.5,190.4,,190.1,330,325,329.5,,328.2
,,,16,140.9,149.6,145.5,,145.3,265,257,265,,262.3
1975,314,0755,14,160,,,,160,370,,,,370
,,,15,120,,,,120,300,,,,300
,,,16,50,,,,50,180,,,,180
1976,4,1120,14,,,,,,353,353.8,,,353.4
,,,15,53.1,55.1,,,54.1,141,142,,,141.5
,,,16,148,147.7,,,147.9,310,312,,,311
1976,66,1014,12,118,110.8,110.8,,113.2,263,262,263,262.5,262.6
,,,14,113.6,113.3,112,113.5,113.1,268,268.7,268,267.5,268.1
,,,15,35.1,39.2,38,38.5,37.7,124,135.8,130,132.5,130.6
,,,16,161.5,,161,,161.3,347,346,355,,349.3
1976,68,1443,12,,,,,,,98.8,,,98.8
,,,14,21.8,24.2,22,20,22,69,70.3,69,69,69.3
,,,15,138.3,141.5,141,139.5,140.1,272,272.1,273,271,272
,,,16,65,74.9,65,66,67.7,149,,149,150,149.3
