A#,S12,S14,S15,S16
A1,226.0,235.7,338.9,314.6
A3,255.4,,,
A5,235.1,,,
A6,418.4,,298.0,371.3
A7,410.6,409.3,366.8,360.9
A8,,,,328.8
A9,244.1,,,
A10,,289.0,,297.2
A13,260.5,,,
A14,268.7,,,
A15,237.3,,,
A16,271.4,,253.2,
A17,238.5,,224.4,297.3
A18,357.8,337.1,270.0,281.5
A20,258.0,,,328.6
A21,278.4,,,
A22,385.8,,244.1,281.2
A25,440.4,417.5,335.4,362.1
A26,278.2,291.9,,
A27,,,275.2,
A30,225.3,,,
A34,251.2,,,
A35,,,,249.0
A40,229.7,,,247.4
A41,226.3,,,
A42,,,309.8,
A44,429.0,,,
A51,,,,290.4
A70,,,,356.8
A82,,,,280.2
A86,,,,346.5
A97,,,,234.8
A99,,,,241.2
A201,289.7,,,
A203,,,,323.0
A224,328.9,,,325.0
A241,,,,383.5
A257,,,258.5,
